job_date,job_name,company_name,company_content,job_content,job_address,job_url,company_url
1/20,(Jr./Sr.) Data Analyst 資深資料分析師,17LIVE_藝啟股份有限公司,待遇面議員工350人,"以提出可行策略
＊研究使用者行為數據、設計實驗以驗證成效、透過分析多樣化的資料來優化營運成效
＊利用資料視覺化方式組織並發佈可信服的資料分析結果以提供解決方案
＊Python, R, SQL 相關開發經驗
＊App 相關工作經驗
＊量化分",台北市中正區經歷不拘大學,https://www.104.com.tw/job/7vm7k?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6bmdkh?jobsource=2018indexpoc
1/14,Data Science Supervisor / Assistant Manager,安達國際人壽保險股份有限公司,待遇面議外商公司員工1100人距捷運西門站約390公尺,"1.	Work as a data strategist, you will think on notions of making a better or come up with project ideas to build the business strategy, and then you will be a facilitator to help the business action go live and perform as expected.
2.	Execute analytical approach to help solve various tasks and make a true impact on company’s revenue.
3.	Implement analytical models into production by collaborating with division counterparts and data engineers.
4.	Communicate analytic solutions to stakeholders and implement improvements as needed.
5.	Analyze data for trends and patterns, and showcase data insights using visualization tools, e.g., Tableau.
",台北市中正區經歷不拘碩士,https://www.104.com.tw/job/7uxbk?jobsource=2018indexpoc,https://www.104.com.tw/company/ocwjz80?jobsource=2018indexpoc
1/12,跨域程式設計師,普睿智能有限公司,"月薪50,000元以上員工8人距捷運行天宮站約350公尺","Python

工作範圍: 體感VR模擬器、智慧AR尋路、WebXR 平台開發、互動藝術創作

薪資可面議

",台北市中山區經歷不拘大學,https://www.104.com.tw/job/7uvav?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6bkuen?jobsource=2018indexpoc
1/18,《實習》資料治理實習生,永豐商業銀行股份有限公司,時薪180~200元,"1.	資料字典導入系統前，協同資訊人員人工檢核彙整
2.	資料資產管理平台上線前測試
3.	配合數位產品發展目標，運用內外部資料庫進行各類商業分析，提供數據做為決策支援。


《實習期間》每周2~5天

《實習亮點》
◆ 實習時間彈性(可配合學校選課調整實習時間) 
◆ 實際體驗金融業資料治理運作
◆ 專屬Mentor指導



",台北市中山區經歷不拘大學,https://www.104.com.tw/job/7v1tv?jobsource=2018indexpoc,https://www.104.com.tw/company/13qu7sqo?jobsource=2018indexpoc
1/19,測試資深工程師_DC充電樁產品_電動車方案事業部(中壢),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,待遇面議上市上櫃員工87000人,"Labview 或 Python 系列的軟體開發，包含使用GPIB/Ethernet/USB遠端指令操作周邊設備，如Load、source、示波器等等。 
 2. 熟悉RS232或RS485或CAN的通訊協定。 
 3. 三相電(Delta/Wye",桃園市中壢區經歷不拘大學,https://www.104.com.tw/job/7v1a7?jobsource=2018indexpoc,https://www.104.com.tw/company/fn5mtmo?jobsource=2018indexpoc
1/17,【顧問服務部】數據分析儲備顧問,台灣恩悌悌數據股份有限公司,"月薪52,000~55,000元員工200人距捷運中山站約450公尺","1. 對數據分析、資料科學有熱誠，並願意從事顧問服務 
2. 具有數據分析工具經驗
3. 有社交能力，願意跟同事、客戶溝通需求
4. 熟練的中/英文溝通與閱讀能力
5. 面試含邏輯基礎測試
",台北市中山區經歷不拘大學,https://www.104.com.tw/job/7vist?jobsource=2018indexpoc,https://www.104.com.tw/company/ofrit7k?jobsource=2018indexpoc
1/13,資料工程師,圖靈數位股份有限公司,待遇面議員工15人距捷運台北車站約310公尺,"行多資料平臺的對接；

２、任職要求：
・具備公有雲資料排程、處理、清洗、分析的實務經驗。
・具備 Python、Java、php 等軟體開發相關工作經驗。
・擅長解決問題、除錯、故障排除，提出問題解決方案。
・具備 SQL、BigQuery、",台北市中正區經歷不拘大學,https://www.104.com.tw/job/7v0e3?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6bjxsx?jobsource=2018indexpoc
1/19,"集團總部 - DTS System Engineer , App System Developer",必勝客Pizza Hut/肯德基KFC_富利餐飲股份有限公司,待遇面議外商公司員工10666人距捷運松江南京站約360公尺,"1. Development
• Build, maintain, and optimize software that fulfils specific needs.
• Plan and prototype new features and applications.
• Design system and software architecture.
• Build, maintain, and test Application Program Interfaces (APIs).
• Review other developers' code.
• Test source code and debug code.
• Build and update software development and architecture related documents.
• Test thoroughly new features and applications in different browsers, devices, and environments to ensure they perform the correct task in all cases.

2. Operation
• Find solutions to security threats, viruses, or errors that might hinder the performance of applications.
• Carry out regular security and performance checks and run performance benchmarking tests.
• Stay on track of the application lifecycle to ensure necessary updates are completed on time.
• Monitor and make sure resource of infrastructure software resides, including capacity security protection, 
and network traffic.
• Perform regular backup and restore testing including software, infrastructure, and data.

3. Communication
• Meet designers, developers, and project staff for alignment and progress updates.
• Gather and analyze requirements from clients and users
• Attend and speak at application development conferences and workshops
• Document code so other developers can understand and contribute to it
• Project co-ordination and functional alignment
• Interview, analyze, and evaluate current and new third-party vendors.

4. Technical advice and knowledge update and upgrade.
• Remain current on technology trends to keep our software as innovative as possible.
• Stay up to date with new trends and advancements in software development
• Learn and test new technologies, frameworks, and languages, and sharing them with team members. ",台北市中山區經歷不拘大學,https://www.104.com.tw/job/7vlwy?jobsource=2018indexpoc,https://www.104.com.tw/company/18mvg57k?jobsource=2018indexpoc
1/19,儲備軟體講師,雲育鏈股份有限公司,待遇面議員工10人,"【職缺描述】
雲育鏈成立至今 4 年，致力於為台灣企業、金控提供有效雲端數位轉型方案，培訓了破千位的雲端、軟體人才，為台灣創造更多新型態企業與就業機會。
不只是寫程式而已！你熱愛並擅長將知識分享給其他人嗎？
為了維護高品質的教學，讓學員再結訓後能順利學以致用，對於老師的教課品質、技術、觀念有所要求。
同時你也認知當別人在玩樂，我們努力是為了強化自己。

【職責】
傳授雲端(AWS、GCP) 或 Flutter 跨平台開發等技術給學生，以淺顯易懂的課程內容、雙向互動的教學模式，培育雲端、軟體人才

【工作內容】
儲備期間須參與公司各種軟體項目，完成主管交代事項，依照受訓、開發等狀況評估工作內容。
表現優異者，有機會參與公司主要項目。",桃園市中壢區經歷不拘專科,https://www.104.com.tw/job/7vlpj?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6bld2j?jobsource=2018indexpoc
1/13,Go/Python後端研發,幣錸有限公司,"月薪150,000~300,000元員工30人"," wallet service and crypto trading functions.

Requirements:
- Strong programming skills of Golang or Python.
- Strong",台北市中山區經歷不拘大學,https://www.104.com.tw/job/7oujv?jobsource=2018indexpoc,https://www.104.com.tw/company/1a2x6blsm9?jobsource=2018indexpoc
